Fecha,CIDIA_m3dia,CIDIA93_m3dia,VOLUMEN_m3,VOLUMEN93_m3,VHOY93_m3,VHOY_m3,FRECUENCIA_Hz,PMA_Kgcm2,PAB_Kgcm2,Fpv,Zb,Zf,SNDVEL7_ms,SNDVEL8_ms,SNDVEL6_ms,SNDVEL5_ms,Etiqueta,SNDVEL_promedio,Q_P_ratio,Q_Z_ratio,Q_Fpv_ratio,Z_Fpv,PMA_Kgcm2_smooth,CIDIA_m3dia_smooth,Zb_smooth,Fpv_smooth,SNDVEL_promedio_smooth,Q_P_ratio_smooth,Q_Z_ratio_smooth,Q_Fpv_ratio_smooth,Z_Fpv_smooth
2025-07-03 03:00:00,7684261,7.651.369,5.451.215,5.423.857,4.468.138,4.491.831,"832,28",68.34,"69,32",1.0507,0.9978,"0,9038","437,07","437,11","437,02","436,98",0,43704499999999996,112441.63008486976,7701203.648025656,7313468.164081089,1.04838846,68.31,7641942.0,0.9978,1.0506666666666666,1.4568166668267798e+16,111870.69859124497,7658791.34095009,7273410.935973142,1.0483551999999998
2025-07-03 04:00:00,7672442,7.639.525,5.451.215,5.423.857,4.784.836,4.809.745,"829,33",68.42,"69,40",1.051,0.9978,"0,9034","436,60","436,62","436,54","436,53",0,4365725,112137.41596024553,7689358.5888955705,7300135.109419601,1.0486878,68.39666666666666,7643720.666666667,0.9978,1.0507666666666666,1.4568166668267494e+16,111756.06761589575,7660573.929311152,7274417.983101663,1.04845498
2025-07-03 05:00:00,7574459,7.545.228,5.451.215,5.423.857,5.103.401,5.129.637,"820,87",68.43,"69,41",1.0506,0.9978,"0,9040","436,75","436,79","436,75","436,73",0,436755,110689.15680257196,7591159.551012226,7209650.675804302,1.04828868,68.38666666666667,7643650.666666667,0.9978,1.0509333333333333,3054651.6666666665,111771.50336909218,7660503.774971604,7273191.849767684,1.0486212799999999
2025-07-03 06:00:00,7684051,7.660.085,5.451.215,5.423.857,5.419.932,5.447.277,"832,40",68.31,"69,29",1.0512,0.9978,"0,9029","436,12","436,24","436,12","436,11",0,4361475,112487.93734445907,7700993.185007015,7309789.764079148,1.04888736,67.94,7258828.666666667,0.9978,1.0507,1.4538416668266078e+16,106781.43249544245,7274833.2999265045,6908421.179348626,1.04838846
2025-07-03 07:00:00,6517976,6.492.634,5.451.215,5.423.857,294.357,295.435,"720,73",67.08,"68,06",1.0503,0.9978,"0,9045","436,14","436,17","436,16","436,14",0,43615250000000003,97167.20333929636,6532347.163760273,6205823.098162429,1.04798934,67.61666666666666,6296346.0,0.9978,1.0507,2.9072500001453824e+16,93044.50435085552,6310228.502705953,5992294.521565773,1.04838846
2025-07-03 08:00:00,4687011,4.668.299,5.451.215,5.423.857,528.043,530.100,"514,03",67.46,"68,44",1.0506,0.9978,"0,9041","436,02","436,13","436,00","435,94",0,43602250000000004,69478.37236881115,4697345.159350571,4461270.7024557395,1.04828868,67.38333333333333,4932126.0,0.9978,1.0506666666666666,2.907250000145246e+16,73254.93454432357,4943000.601322911,4694628.894754625,1.0483551999999998
2025-07-03 09:00:00,3591391,3.576.739,5.451.215,5.423.857,693.455,696.144,"393,00",67.61,"68,60",1.0511,0.9978,"0,9032","435,76","435,79","435,73","435,67",0,4357375,53119.22792486319,3599309.4808578873,3416792.883645705,1.04878758,67.54666666666667,3956538.6666666665,0.9978,1.0507,2.9097416668119124e+16,58581.884721245005,3965262.2436025925,3765654.9856692553,1.04838846
2025-07-03 10:00:00,3591214,3.567.664,5.451.215,5.423.857,843.074,846.557,"392,67",67.57,"68,56",1.0504,0.9978,"0,9044","436,95","436,95","436,90","436,80",0,43690000000000003,53148.053870060685,3599132.0905993185,3418901.3709063213,1.04808912,67.60333333333334,3617728.3333333335,0.9978,1.0506666666666666,2.912350000145246e+16,53513.90540583913,3625704.884078305,3443273.6203099806,1.0483551999999998
2025-07-03 11:00:00,3670580,3.644.391,5.451.215,5.423.857,994.368,998.897,"400,67",67.63,"68,61",1.0505,0.9978,"0,9042","436,83","436,87","436,82","436,70",0,43680499999999995,54274.43442259353,3678673.080777711,3494126.6063779155,1.0481889,67.71333333333332,3750488.3333333335,0.9978,1.0505333333333333,4.3668916666666664e+16,55381.97848397078,3758757.6000534506,3570061.0690436685,1.04822216
2025-07-03 12:00:00,3989671,3.966.590,5.451.215,5.423.857,1.155.998,1.161.613,"434,20",67.94,"68,92",1.0507,0.9978,"0,9038","436,38","436,42","436,35","436,30",0,43636250000000007,58723.44715925817,3998467.6287833233,3797155.229846769,1.04838846,67.93666666666665,4009033.6666666665,0.9978,1.0508666666666666,2.910558333478581e+16,58996.80265311429,4017872.9872385915,3814882.925181229,1.0485547599999998
